sample no.,model_name,json_validity,key_similarity,value_exactness,numeric_similarity,string_similarity
0,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
0,gpt-4o-mini,True,1.0,0.9705882352941176,1.0,0.9950000000000001
1,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
1,gpt-4o-mini,True,1.0,0.9705882352941176,1.0,0.9902941176470589
2,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
2,gpt-4o-mini,True,1.0,0.9705882352941176,1.0,0.991590909090909
3,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
3,gpt-4o-mini,True,1.0,0.9705882352941176,1.0,0.9581081081081082
4,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.9705882352941176,1.0,0.95
4,gpt-4o-mini,True,1.0,0.9705882352941176,1.0,0.9940740740740741
5,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.9705882352941176,1.0,1.0
5,gpt-4o-mini,True,1.0,0.9705882352941176,1.0,0.9824242424242424
6,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.9705882352941176,1.0,1.0
6,gpt-4o-mini,True,1.0,0.9705882352941176,1.0,0.9748484848484849
7,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
7,gpt-4o-mini,True,1.0,0.9705882352941176,1.0,0.9748387096774195
8,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.9411764705882353,1.0,0.9376811594202898
8,gpt-4o-mini,True,1.0,0.9411764705882353,1.0,0.9386111111111108
9,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
9,gpt-4o-mini,True,1.0,0.9705882352941176,1.0,0.9911764705882353
avg,Qwen2.5-72B-Instruct-AWQ,1.0,1.0,0.9852941176470589,1.0,0.988768115942029
avg,gpt-4o-mini,1.0,1.0,0.9676470588235293,1.0,0.9790966227569644
