Initial URL,Processing Time (s),Relevant Link,Relevant Fields,Relevance Reasons,Update Time (s)
https://siebelschool.illinois.edu/about/people/all-faculty/caesar,26.20,,,,
https://siebelschool.illinois.edu/about/people/all-faculty/kcchang,192.91,,,,
https://siebelschool.illinois.edu/about/people/faculty/hl314,101.63,,,,
https://siebelschool.illinois.edu/about/people/faculty/angrave,158.62,,,,
https://siebelschool.illinois.edu/about/people/all-faculty/nanjiang,31.08,,,,
https://siebelschool.illinois.edu/about/people/all-faculty/mfsilva,55.78,,,,
https://siebelschool.illinois.edu/about/people/all-faculty/minjiaz,587.05,https://minjiazhang.github.io/,"office, biography, researchStatement","office: The URL is a personal homepage for Prof. Zhang, which is likely to contain information about the professor, including office details.; biography: The URL is a personal website and the display text indicates it is the professor's home page, which typically includes biographical information.; researchStatement: The URL is a personal homepage for Prof. Zhang, which is likely to contain a research statement or related information about the professor's research interests and activities.",142.97
https://siebelschool.illinois.edu/about/people/all-faculty/minjiaz,587.05,https://cs.illinois.edu/about/people/faculty/minjiaz,"biography, researchStatement","biography: The URL points to a faculty profile page on the University of Illinois Computer Science department website, and the display text indicates it is for an Assistant Professor, which is likely to include a biography.; researchStatement: The URL points to a faculty profile page on the University of Illinois Computer Science department website, which typically includes a research statement for the professor.",48.15
https://siebelschool.illinois.edu/about/people/all-faculty/minjiaz,587.05,https://ece.illinois.edu/about/directory/faculty/minjiaz,biography,"biography: The URL points to a faculty directory page on the ECE department's website, and the display text indicates it is for an Affiliate Professor, which is likely to include biographical information.",47.99
https://siebelschool.illinois.edu/about/people/all-faculty/minjiaz,587.05,https://minjiazhang.github.io/ucp.github.io/,researchStatement,"researchStatement: The URL is associated with Minjia Zhang's GitHub page, and the display text describes a research topic, which is likely to be part of Minjia Zhang's research statement.",51.01
https://siebelschool.illinois.edu/about/people/all-faculty/tyxu,735.34,https://tianyin.github.io/,"biography, researchStatement","biography: The URL leads to Tianyin Xu's personal homepage, which is likely to contain biographical information about the professor.; researchStatement: The URL leads to Tianyin Xu's personal homepage, which is likely to contain a research statement or related information about the professor's research interests and activities.",108.38
https://siebelschool.illinois.edu/about/people/all-faculty/tyxu,735.34,https://research.fb.com/blog/2021/05/visiting-scientist-tianyin-xu-university-illinois-urbana-champaign/,"biography, researchStatement","biography: The URL mentions Tianyin Xu and the display text suggests it is an interview, which could contain biographical information.; researchStatement: The URL mentions Tianyin Xu and is from a Facebook research blog, suggesting it could contain information about their work or research statement.",0.00
https://siebelschool.illinois.edu/about/people/all-faculty/tyxu,735.34,https://tianyin.github.io/index.html,"biography, researchStatement","biography: The URL is a personal website and the display text matches the name of the prof, suggesting it could contain biographical information.; researchStatement: The URL is a personal website for Tianyin Xu, which is likely to contain information about the individual, including their research statement.",108.61
https://siebelschool.illinois.edu/about/people/all-faculty/tyxu,735.34,https://siebelschool.illinois.edu/news/-acto-IBM,researchStatement,"researchStatement: The display text mentions a CS professor Tianyin Xu and a project related to cloud systems, which is likely to be part of his research interests or statement.",37.41
https://siebelschool.illinois.edu/about/people/all-faculty/tyxu,735.34,https://siebelschool.illinois.edu/about/people/all-faculty/tyxu,"biography, researchStatement","biography: The URL points to a faculty page on the Siebel School's website, and the display text matches the name of the professor, indicating that the link likely leads to a page with information about Tianyin Xu, including a biography.; researchStatement: The URL points to a faculty profile page on the Siebel School's website, which typically includes detailed information about a professor, including their research statement.",36.64
https://siebelschool.illinois.edu/about/people/all-faculty/tyxu,735.34,https://siebelschool.illinois.edu/about/people/faculty/tyxu,"biography, researchStatement","biography: The URL points to a faculty profile page on the Siebel School's website, and the display text matches the name of the professor, indicating that the link likely leads to information about Tianyin Xu, including a biography.; researchStatement: The URL points to a faculty profile page on the Siebel School's website, which typically includes detailed information about a professor, including their research statement.",36.86
https://siebelschool.illinois.edu/about/people/all-faculty/maxim,115.90,,,,
