sample no.,model_name,json_validity,key_similarity,value_exactness,numeric_similarity,string_similarity
0,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,1.0,0.9858620689655172
0,gpt-4o-mini,True,1.0,0.96875,1.0,0.916551724137931
1,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,0.8994331895114526,0.7755172413793104
1,gpt-4o-mini,True,1.0,0.96875,1.0,0.8220689655172415
2,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,0.9002849002849003,0.800689655172414
2,gpt-4o-mini,True,1.0,0.96875,0.8888888888888888,0.973103448275862
3,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,1.0,0.9644827586206897
3,gpt-4o-mini,True,1.0,1.0,1.0,1.0
4,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,1.0,0.9393103448275862
4,gpt-4o-mini,True,1.0,0.96875,1.0,0.9655172413793104
5,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,1.0,0.9117241379310344
5,gpt-4o-mini,True,1.0,0.96875,1.0,0.9355172413793104
6,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,1.0,0.9182758620689656
6,gpt-4o-mini,True,1.0,0.96875,1.0,0.9182758620689655
7,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,1.0,0.9313793103448278
7,gpt-4o-mini,True,1.0,0.96875,1.0,0.8889655172413794
8,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,1.0,0.9744827586206896
8,gpt-4o-mini,True,1.0,0.96875,1.0,0.9137931034482759
9,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.96875,1.0,0.9020689655172413
9,gpt-4o-mini,True,1.0,0.96875,1.0,0.9655172413793104
avg,Qwen2.5-72B-Instruct-AWQ,1.0,1.0,0.96875,0.9799718089796354,0.9103793103448276
avg,gpt-4o-mini,1.0,1.0,0.971875,0.9888888888888889,0.9299310344827585
