sample no.,model_name,json_validity,key_similarity,value_exactness,numeric_similarity,string_similarity
0,Qwen2.5-72B-Instruct-AWQ,TRUE,1,1,1,1
0,gpt-4o-mini,TRUE,1,0.970588235,1,0.995
1,Qwen2.5-72B-Instruct-AWQ,TRUE,1,1,1,1
1,gpt-4o-mini,TRUE,1,0.970588235,1,0.990294118
2,Qwen2.5-72B-Instruct-AWQ,TRUE,1,1,1,1
2,gpt-4o-mini,TRUE,1,0.970588235,1,0.991590909
3,Qwen2.5-72B-Instruct-AWQ,TRUE,1,1,1,1
3,gpt-4o-mini,TRUE,1,0.970588235,1,0.958108108
4,Qwen2.5-72B-Instruct-AWQ,TRUE,1,0.970588235,1,0.95
4,gpt-4o-mini,TRUE,1,0.970588235,1,0.994074074
5,Qwen2.5-72B-Instruct-AWQ,TRUE,1,0.970588235,1,1
5,gpt-4o-mini,TRUE,1,0.970588235,1,0.982424242
6,Qwen2.5-72B-Instruct-AWQ,TRUE,1,0.970588235,1,1
6,gpt-4o-mini,TRUE,1,0.970588235,1,0.974848485
7,Qwen2.5-72B-Instruct-AWQ,TRUE,1,1,1,1
7,gpt-4o-mini,TRUE,1,0.970588235,1,0.97483871
8,Qwen2.5-72B-Instruct-AWQ,TRUE,1,0.941176471,1,0.937681159
8,gpt-4o-mini,TRUE,1,0.941176471,1,0.938611111
9,Qwen2.5-72B-Instruct-AWQ,TRUE,1,1,1,1
9,gpt-4o-mini,TRUE,1,0.970588235,1,0.991176471
avg,Qwen2.5-72B-Instruct-AWQ,1,1,0.985294118,1,0.988768116
avg,gpt-4o-mini,1,1,0.967647059,1,0.979096623
